2075-0 		:	 Chloride [Moles/volume] in Serum or Plasma
21000-5 		:	 Erythrocyte distribution width [Entitic volume] by Automated count
30341-2 		:	 Erythrocyte sedimentation rate
2028-9 		:	 Carbon dioxide, total [Moles/volume] in Serum or Plasma
2160-0 		:	 Creatinine [Mass/volume] in Serum or Plasma
3097-3 		:	 Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma
26485-3 		:	 Monocytes/100 leukocytes in Blood
2951-2 		:	 Sodium [Moles/volume] in Serum or Plasma
789-8 		:	 Erythrocytes [#/volume] in Blood by Automated count
1759-0 		:	 Albumin/Globulin [Mass Ratio] in Serum or Plasma
2885-2 		:	 Protein [Mass/volume] in Serum or Plasma
718-7 		:	 Hemoglobin [Mass/volume] in Blood
2498-4 		:	 Iron [Mass/volume] in Serum or Plasma
883-9 		:	 ABO group [Type] in Blood
10331-7 		:	 Rh [Type] in Blood
731-0 		:	 Lymphocytes [#/volume] in Blood by Automated count
2345-7 		:	 Glucose [Mass/volume] in Serum or Plasma
17861-6 		:	 Calcium [Mass/volume] in Serum or Plasma
1742-6 		:	 Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
26515-7 		:	 Platelets [#/volume] in Blood
770-8 		:	 Neutrophils/100 leukocytes in Blood by Automated count
20570-8 		:	 Hematocrit [Volume Fraction] of Blood
786-4 		:	 MCHC [Mass/volume] by Automated count
26464-8 		:	 Leukocytes [#/volume] in Blood
5905-5 		:	 Monocytes/100 leukocytes in Blood by Automated count
785-6 		:	 MCH [Entitic mass] by Automated count
704-7 		:	 Basophils [#/volume] in Blood by Automated count
751-8 		:	 Neutrophils [#/volume] in Blood by Automated count
3094-0 		:	 Urea nitrogen [Mass/volume] in Serum or Plasma
706-2 		:	 Basophils/100 leukocytes in Blood by Automated count
16128-1 		:	 Hepatitis C virus Ab [Presence] in Serum
10466-1 		:	 Anion gap 3 in Serum or Plasma
10834-0 		:	 Globulin [Mass/volume] in Serum by calculation
711-2 		:	 Eosinophils [#/volume] in Blood by Automated count
742-7 		:	 Monocytes [#/volume] in Blood by Automated count
1968-7 		:	 Bilirubin.direct [Mass/volume] in Serum or Plasma
6768-6 		:	 Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma
737-7 		:	 Lymphocytes/100 leukocytes in Blood by Manual count
53326-5 		:	 Specific gravity of Urine by Automated test strip
48642-3 		:	 Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
48643-1 		:	 Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
6598-7 		:	 Troponin T.cardiac [Mass/volume] in Serum or Plasma
2744-1 		:	 pH of Arterial blood
32623-1 		:	 Platelet mean volume [Entitic volume] in Blood by Automated count
2823-3 		:	 Potassium [Moles/volume] in Serum or Plasma
1751-7 		:	 Albumin [Mass/volume] in Serum or Plasma
50551-1 		:	 Bilirubin.total [Presence] in Urine by Automated test strip
776-5 		:	 Platelet mean volume [Entitic volume] in Blood by Rees-Ecker
2085-9 		:	 Cholesterol in HDL [Mass/volume] in Serum or Plasma
30428-7 		:	 MCV [Entitic volume]
13457-7 		:	 Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
1994-3 		:	 Calcium.ionized [Moles/volume] in Blood
2888-6 		:	 Protein [Mass/volume] in Urine
736-9 		:	 Lymphocytes/100 leukocytes in Blood by Automated count
3084-1 		:	 Urate [Mass/volume] in Serum or Plasma
94309-2 		:	 SARS-CoV-2 (COVID-19) RNA [Presence] in Specimen by NAA with probe detection
2276-4 		:	 Ferritin [Mass/volume] in Serum or Plasma
4548-4 		:	 Hemoglobin A1c/Hemoglobin.total in Blood
3034-6 		:	 Transferrin [Mass/volume] in Serum or Plasma
13969-1 		:	 Creatine kinase.MB [Mass/volume] in Serum or Plasma
788-0 		:	 Erythrocyte distribution width [Ratio] by Automated count
2500-7 		:	 Iron binding capacity [Mass/volume] in Serum or Plasma
10839-9 		:	 Troponin I.cardiac [Mass/volume] in Serum or Plasma
30180-4 		:	 Basophils/100 leukocytes in Blood
4544-3 		:	 Hematocrit [Volume Fraction] of Blood by Automated count
787-2 		:	 MCV [Entitic volume] by Automated count
1975-2 		:	 Bilirubin.total [Mass/volume] in Serum or Plasma
7905-3 		:	 Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Neutralization test
32693-4 		:	 Lactate [Moles/volume] in Blood
48067-3 		:	 Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay
6301-6 		:	 INR in Platelet poor plasma by Coagulation assay
2711-0 		:	 Oxygen saturation in Venous blood
777-3 		:	 Platelets [#/volume] in Blood by Automated count
5902-2 		:	 Prothrombin time (PT)
2339-0 		:	 Glucose [Mass/volume] in Blood
6690-2 		:	 Leukocytes [#/volume] in Blood by Automated count
740-1 		:	 Metamyelocytes/100 leukocytes in Blood by Manual count
30313-1 		:	 Hemoglobin [Mass/volume] in Arterial blood
732-8 		:	 Lymphocytes [#/volume] in Blood by Manual count
58450-8 		:	 Bilirubin [Presence] in Urine by Confirmatory method
2157-6 		:	 Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
1971-1 		:	 Bilirubin.indirect [Mass/volume] in Serum or Plasma
1960-4 		:	 Bicarbonate [Moles/volume] in Arterial blood
30522-7 		:	 C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method
2713-6 		:	 Oxygen saturation Calculated from oxygen partial pressure in Blood
2340-8 		:	 Glucose [Mass/volume] in Blood by Automated test strip
783-1 		:	 Promyelocytes/100 leukocytes in Blood by Manual count
2777-1 		:	 Phosphate [Mass/volume] in Serum or Plasma
2708-6 		:	 Oxygen saturation in Arterial blood
5964-2 		:	 Prothrombin time (PT) in Blood by Coagulation assay
69405-9 		:	 Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood
33914-3 		:	 Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)
5770-3 		:	 Bilirubin.total [Presence] in Urine by Test strip
713-8 		:	 Eosinophils/100 leukocytes in Blood by Automated count
26449-9 		:	 Eosinophils [#/volume] in Blood
20507-0 		:	 Reagin Ab [Presence] in Serum by RPR
20565-8 		:	 Carbon dioxide, total [Moles/volume] in Blood
753-4 		:	 Neutrophils [#/volume] in Blood by Manual count
2093-3 		:	 Cholesterol [Mass/volume] in Serum or Plasma
20585-6 		:	 Lymphocytes [#/volume] in Specimen by Automated count
2746-6 		:	 pH of Venous blood
1920-8 		:	 Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma
43396-1 		:	 Cholesterol non HDL [Mass/volume] in Serum or Plasma
38483-4 		:	 Creatinine [Mass/volume] in Blood
14627-4 		:	 Bicarbonate [Moles/volume] in Venous blood
23761-0 		:	 Neutrophils/100 leukocytes in Blood by Manual count
2703-7 		:	 Oxygen [Partial pressure] in Arterial blood
49497-1 		:	 Platelets [#/volume] in Blood by Estimate
33037-3 		:	 Anion gap in Serum or Plasma
14957-5 		:	 Microalbumin [Mass/volume] in Urine
3016-3 		:	 Thyrotropin [Units/volume] in Serum or Plasma
2161-8 		:	 Creatinine [Mass/volume] in Urine
